Time,Stock 0 Ground Truth,Stock 0 Prediction,Stock 1 Ground Truth,Stock 1 Prediction,Stock 2 Ground Truth,Stock 2 Prediction,Stock 3 Ground Truth,Stock 3 Prediction,Stock 4 Ground Truth,Stock 4 Prediction,Stock 5 Ground Truth,Stock 5 Prediction,Stock 6 Ground Truth,Stock 6 Prediction,Stock 7 Ground Truth,Stock 7 Prediction
29,-0.0096784625,0.62752444,-0.015714627,0.9135794,0.012978999,0.74925506,-0.012275964,0.78245455,0.00016473165,0.7840604,-0.0062546367,0.771502,-0.005872436,0.74647146,0.0074074096,0.9135594
30,0.013994689,0.63132477,0.0043541365,0.9247018,0.003629974,0.75507915,0.04015399,0.787255,0.0062889922,0.7867841,-0.01777055,0.7717458,0.00061127415,0.75018793,0.00630298,0.92775214
31,-0.010734193,0.6357219,0.010116307,0.93052804,-0.0012186125,0.759606,-0.007353236,0.7903578,-0.0018091828,0.7903593,0.0052763047,0.7673954,-0.0014250313,0.75710833,0.013569246,0.94181895
32,-0.0013291166,0.6346138,-0.017167306,0.93462014,0.0027709915,0.76089925,-0.005556006,0.7906148,-0.0018124619,0.7912115,-0.0063742422,0.7681267,0.012435655,0.7601429,0.004119744,0.9483005
33,0.008869646,0.6345288,0.008733552,0.93084735,0.007221264,0.7631333,-0.0074490937,0.7917054,0.0077570537,0.79176086,0.0026424804,0.7673534,0.009262816,0.7682631,0.0041028415,0.950602
34,0.010550039,0.6355575,-0.007215352,0.9299482,0.0029988019,0.7664461,0.004690434,0.7935642,0.0042580976,0.79375565,-0.012420669,0.7681065,-0.006384446,0.7707454,0.0051070834,0.9532276
35,-0.012397166,0.63823617,-0.07122043,0.9285512,-0.004230238,0.7692819,0.045752414,0.7966236,0.0011411487,0.7963981,-0.02934431,0.76746535,-0.010842884,0.7737298,0.0,0.95850563
36,0.0030835602,0.6372025,0.079812,0.9068773,0.0009526809,0.78235424,0.007143073,0.8072053,-0.0060260086,0.7980597,0.0060858806,0.7656764,0.009947272,0.7731017,-0.009146449,0.9597404
37,0.0035112586,0.6375637,-0.010145623,0.90666443,0.0019757268,0.7840798,0.01861629,0.81524837,-0.0031141278,0.7981987,0.017756255,0.7699012,0.027134918,0.7723336,0.0041028415,0.9572788
38,-0.0010929713,0.63889617,-0.014640868,0.9073025,0.00043758802,0.78724325,-0.010443654,0.8237648,-0.0034523273,0.79851425,-0.015721831,0.7733746,-0.02446226,0.77202,-0.013279238,0.9646685
39,0.012702926,0.6408636,0.04903409,0.9073262,0.020440163,0.79089445,0.016710142,0.82371974,0.009568145,0.7981,-0.051810898,0.7732333,0.010633114,0.77133846,-0.0062105614,0.9598477
40,-0.006488671,0.64311945,0.007082494,0.908111,-0.0059381463,0.7997994,-0.01211024,0.83149123,-0.013889671,0.7994443,-0.056285456,0.7639427,-0.011711225,0.77111065,-0.034375772,0.9561528
41,-0.0006524236,0.64460355,-0.007032685,0.90930736,0.0059013492,0.80076754,-0.004378284,0.8297377,0.0,0.7990762,-0.0069663166,0.7544604,-0.010644563,0.77075064,0.012945863,0.9452231
42,-0.0058808536,0.6450428,-0.014163959,0.9131776,-0.0031483355,0.8040153,-0.009675012,0.8312388,0.0004973226,0.7990481,-0.012275066,0.74139696,0.004263105,0.7702358,0.008519236,0.9512397
43,0.0019719445,0.64465547,0.0028728652,0.91846275,0.0012926229,0.80483454,-0.02131389,0.8297448,0.0029809824,0.79919064,-0.0017756384,0.72254205,0.00020179202,0.7693677,-0.011615914,0.9530878
44,0.0054669273,0.6453295,-0.0014323178,0.9245386,-0.0037276244,0.8082509,-0.011797028,0.82609975,-0.0023109396,0.79954773,-0.005336298,0.6999388,-0.007881767,0.7681463,-0.014957206,0.9562514
45,-0.0008708108,0.64546,0.0028697872,0.9247072,-0.0023012906,0.8102313,-0.0045912946,0.8219853,-0.0052966136,0.7993698,0.005364927,0.6949315,-0.0040745954,0.76779324,-0.0021693774,0.9515852
46,0.0008715698,0.6466159,0.012875528,0.92628413,0.003316924,0.81059724,0.0018447185,0.82831943,0.0076534436,0.7990623,0.0062256963,0.6961895,0.002761501,0.7676109,-0.004346997,0.95138204
47,0.012831673,0.64626724,-0.0014120863,0.9286758,0.00043063753,0.81168115,-0.008286772,0.82714045,0.012384166,0.798897,0.007953308,0.69813275,0.0031610627,0.7672714,0.014191481,0.9513454
48,-0.004295532,0.64806825,0.0,0.9297048,-0.0015091484,0.8129399,-0.0037134914,0.82609534,-0.0030981062,0.79950774,0.0035075932,0.70072997,-0.009150243,0.7669959,0.0010770069,0.9522474
49,-0.0017253815,0.64960045,0.024044488,0.93059903,0.010576378,0.81375647,0.008387162,0.82528317,0.020614378,0.80062336,0.0052430453,0.7013948,0.0030791974,0.76532495,0.0064509665,0.9528973
50,0.0069132666,0.6503462,0.009669175,0.93633884,0.0016374842,0.81619745,-0.006469275,0.8272033,0.008657498,0.80290806,-0.01086523,0.701586,0.0030683659,0.7644395,0.019231066,0.95028794
51,-0.0004287279,0.65090597,0.012311891,0.9428863,-0.004974458,0.81763864,0.017673884,0.8301239,0.00031756048,0.80753624,0.02767919,0.696164,0.0061192536,0.7642807,-0.0010477626,0.9493834
52,0.0038633782,0.6520526,-0.008108101,0.9591124,0.010499614,0.8179438,-0.027422234,0.8310899,0.010327234,0.8116771,-0.019238794,0.70235336,-0.0034463906,0.7647223,-0.006296362,0.94869864
53,-0.021381645,0.65339875,-0.021799006,0.9588673,-0.011451981,0.82053244,-0.034774136,0.83057714,-0.010851351,0.8162478,-0.020923296,0.69893074,-0.028682847,0.76466084,-0.059662223,0.9480349
54,0.0063369614,0.6518647,-0.008356544,0.9526065,0.01129987,0.8200228,0.000974185,0.82366484,0.004770124,0.8153744,-0.0004461296,0.6886589,0.01465977,0.76046956,-0.026390063,0.9365754
55,0.011723306,0.65215945,0.02106741,0.96108896,-0.0035367808,0.82336307,0.006809097,0.81511354,0.00063238124,0.81676185,0.008018757,0.67623866,-0.0074299825,0.75978684,0.0034610222,0.912133
56,-0.004291276,0.65238047,-0.0027503646,0.96788394,-0.001985999,0.8234478,-0.0057976493,0.812868,0.0011076849,0.8172273,-0.0057444912,0.66379267,-0.00020758284,0.7572907,0.022987813,0.90864563
57,0.0,0.6524483,-0.033103354,0.9667954,0.001706718,0.8238756,0.007774777,0.8015126,0.00031567804,0.8181732,-0.0013342461,0.6589387,0.00416019,0.7549157,0.0033715796,0.9153805
58,0.003663722,0.6524136,-0.007133006,0.9552474,0.02072646,0.8239968,0.028929602,0.80166435,0.002683707,0.81878626,0.014241185,0.653322,-0.0014499068,0.7542712,0.0044784257,0.9145092
59,0.004508633,0.6531527,0.004310342,0.95297486,0.002225715,0.82825434,0.0178064,0.806225,0.00015799208,0.82013977,-0.006581765,0.6529558,0.009955456,0.7529173,-0.0100324135,0.9128194
60,-0.0034204253,0.65421635,0.008583685,0.9525361,-0.0013195038,0.830676,0.024862863,0.8078508,-0.004093834,0.8208718,0.025617981,0.649997,-0.007393358,0.7522258,0.0450447,0.90722513
61,-0.0045038015,0.6547364,0.0028372211,0.95389646,-0.001875933,0.8319081,-0.0035946195,0.807967,-0.0049010864,0.82087696,-0.018518211,0.652881,0.0035177025,0.75127625,-0.006465985,0.9141934
62,0.0004305752,0.6551002,-0.028288793,0.95559675,0.0002785223,0.8327843,-0.032460876,0.8071315,0.0073081767,0.8217496,-0.012723952,0.65413696,0.0012375027,0.75141484,-0.021691266,0.91398335
63,-0.0043069883,0.65576684,0.011644053,0.9504135,0.0074469526,0.83363855,0.0074546654,0.8044529,-0.0014189407,0.82474643,-0.02222302,0.65561104,-0.024094656,0.7511544,0.005543052,0.91534686
64,0.0032434384,0.65528405,-0.015826577,0.9512049,-0.0051811766,0.83592665,-0.008325101,0.80345553,-0.0004739966,0.82581824,-0.0045459443,0.65492606,-0.002110424,0.74820167,-0.025358368,0.91617274
65,-0.0021557703,0.65523875,0.0058475286,0.9513788,-0.0025000689,0.836735,0.0074629136,0.80391896,-0.00094859034,0.8309413,0.053882323,0.6542468,0.00063462555,0.7461382,0.011311842,0.91531813
66,0.0034573793,0.65526664,-0.0029073278,0.95172733,-0.0022265697,0.8364645,-0.002778003,0.8021266,-0.0012654709,0.83311623,0.0082322955,0.6570331,0.0023244228,0.74484915,-0.00782998,0.91469705
67,0.016580438,0.65503395,0.0029158052,0.9455315,-0.0011864895,0.83589256,0.036211167,0.801346,-0.004434279,0.83369493,0.0,0.66238916,-0.00042085926,0.7440196,0.006764866,0.91143066
68,-0.008896504,0.65555835,0.024709648,0.9436226,-0.010756391,0.83636487,-0.0026872256,0.79603004,-0.0042956923,0.8340566,-0.0038672388,0.6591802,0.0080153365,0.74170303,0.005598918,0.90736306
69,0.0008556437,0.6555085,-0.026951024,0.94252217,0.0012008153,0.8341546,-0.0071879965,0.7893182,0.0043142247,0.83220136,-0.032787375,0.65547806,-0.015485598,0.73857355,-0.020044843,0.897743
70,0.0014935437,0.65637934,-0.010203662,0.9401647,-0.005289622,0.83470654,-0.024434088,0.7906587,-0.0011131916,0.8323402,-0.016949369,0.6557436,-0.011476558,0.73837036,-0.018181872,0.88631
71,0.010448112,0.6572263,0.02061884,0.93521357,0.0055301543,0.833746,0.019479677,0.8011885,0.0050954293,0.83198535,0.0018150202,0.65683144,0.020425508,0.73396313,0.015046733,0.87796235
72,0.0035871887,0.65830016,-0.0014436996,0.93806106,-0.0044423053,0.8337163,0.0,0.81066763,-0.011883778,0.83211225,0.019022193,0.6545813,0.0004220138,0.7357049,-0.005701065,0.88608897
73,-0.011773648,0.6598202,0.008670521,0.9369902,-0.0036820848,0.8339114,0.016378826,0.8141557,-0.0046505486,0.83107984,0.010221023,0.65559363,0.011582859,0.73660445,0.021788726,0.8844289
74,0.01425388,0.660263,0.027221326,0.9368113,0.012510158,0.8349587,0.025067361,0.8229333,0.011922539,0.83002067,0.025077377,0.65950066,0.016448686,0.73754,0.026935587,0.8891374
75,-0.0031453753,0.6620592,0.009762494,0.93837,-0.0011939867,0.8351153,0.0,0.8360659,0.001273731,0.82971954,0.016737662,0.6606344,0.0014337889,0.7387146,0.012022157,0.8899685
76,0.01325687,0.6628628,0.015193701,0.9388329,0.009630209,0.8350279,0.020087544,0.84219384,0.008268385,0.82914144,0.013930669,0.66233623,0.008181071,0.7380229,0.024838127,0.90045595
77,0.005192166,0.66523004,0.006803047,0.9362059,0.0061961333,0.8351445,0.0008554674,0.8496132,0.011827546,0.82894444,0.0062447283,0.6645786,-0.0071008317,0.73786086,0.0010532186,0.8981011
78,-0.0028930684,0.66758853,0.0067560347,0.9318808,-0.005881132,0.8354794,0.016253838,0.850204,0.00015629399,0.8294943,0.0037233252,0.67406535,0.005517362,0.7366131,0.03578982,0.8946644
